tipo_factor,sistema_o_compuesto,factor,valor,unidad,fuente_dato,fuente_bibliografica_pendiente,observaciones
Factor hardcodeado auditado,,EF5,0.011,kg N2O-N/kg N lixiviado,scripts/ACV_EscenarioA_etapa1.py; scripts/ACV_EscenarioA_etapa2.py; scripts/ACV_EscenarioA_etapa3.py; scripts/ACV_EscenarioA_etapa4.py; scripts/ACV_EscenarioB_etapa1.py; scripts/ACV_EscenarioB_etapa2.py,Referencia IPCC para lixiviacion/escorrentia,Debe documentarse por fuente/version IPCC.
Factor hardcodeado auditado,,frac_gasm,0.21,adimensional,scripts/ACV_EscenarioA_etapa4.py; scripts/ACV_EscenarioB_etapa2.py,Referencia IPCC o decision metodologica,No esta en tabla de parametros.
Factor hardcodeado auditado,,frac_leach_h,0.24,adimensional,scripts/ACV_EscenarioA_etapa4.py; scripts/ACV_EscenarioB_etapa2.py,Referencia IPCC o decision metodologica,No esta en tabla de parametros.
Factor hardcodeado auditado,,R_N2_N2O,3.0,kg N2-N/kg N2O-N,scripts/ACV_EscenarioA_etapa4.py; scripts/ACV_EscenarioB_etapa2.py,Referencia IPCC,Se calcula pero no se exporta en resumen final.
Factor hardcodeado auditado,,FACTOR_N_A_N2O,1.571428571,kg N2O/kg N2O-N,scripts/ecuaciones_acv.py,No requiere fuente empirica; citar conversion molar si se explica,Constante derivada de masas molares.
Factor hardcodeado auditado,,FACTOR_N_A_NH3,1.214285714,kg NH3/kg N,scripts/ecuaciones_acv.py,No requiere fuente empirica; citar conversion molar si se explica,Constante derivada de masas molares.
Factor hardcodeado auditado,,FACTOR_N_A_NO3,4.428571429,kg NO3/kg N,scripts/ecuaciones_acv.py,Revisar formula estequiometrica esperada para NO3-,31/7 no corresponde a 62/14; requiere revision antes de tesis.
Factor hardcodeado auditado,,CH_4_eq,21.0,kg CO2-eq/kg CH4,scripts/ecuaciones_acv.py; processed/acv_factores_equivalencia.csv,Fuente/version IPCC o metodo LCIA,El calculo actual de impactos usa el CSV.
Factor hardcodeado auditado,,N_2_O_eq,310.0,kg CO2-eq/kg N2O,scripts/ecuaciones_acv.py; processed/acv_factores_equivalencia.csv,Fuente/version IPCC o metodo LCIA,El calculo actual de impactos usa el CSV.
Factor hardcodeado auditado,,NH_3_eq,0.35,kg PO4-eq/kg NH3,scripts/ecuaciones_acv.py; processed/acv_factores_equivalencia.csv,Fuente metodo LCIA,El calculo actual de impactos usa el CSV.
Factor hardcodeado auditado,,NO_3_eq,0.095,kg PO4-eq/kg NO3,scripts/ecuaciones_acv.py; processed/acv_factores_equivalencia.csv,Fuente metodo LCIA,El calculo actual de impactos usa el CSV.
Factor hardcodeado auditado,,co2_kg_por_kg_residuo_seco,0.102,kg CO2/kg residuo seco,processed/factores_emision_medidos.csv; scripts/ACV_EscenarioA_etapa2.py,Fuente experimental o bibliografica,"No hardcodeado, pero requiere fuente."
Factor hardcodeado auditado,,ch4_kg_por_kg_residuo_seco,0.0076,kg CH4/kg residuo seco,processed/factores_emision_medidos.csv; scripts/ACV_EscenarioA_etapa2.py,Fuente experimental o bibliografica,"No hardcodeado, pero requiere fuente."
Factor hardcodeado auditado,,n2o_kg_por_kg_residuo_seco,3.943e-08,kg N2O/kg residuo seco,processed/factores_emision_medidos.csv; scripts/ACV_EscenarioA_etapa2.py,Fuente experimental o bibliografica,"No hardcodeado, pero requiere fuente."
