escenario,etapa,nombre_etapa,tipo_muestra,modelo_calculo,sistema_manejo_ipcc,parametro,valor,unidad,fuente_dato,observaciones,flujo,fuente,formula_origen
A,4,Etapa 4: Aplicación de aguas verdes en campos de pastoreo,LIQ: AGUA VERDE,ipcc,land_application_managed_liquid_slurry,Masa equivalente total,259326.125181,kg eq/año,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Base de escalamiento por etapa,,,
A,4,Etapa 4: Aplicación de aguas verdes en campos de pastoreo,LIQ: AGUA VERDE,ipcc,land_application_managed_liquid_slurry,MCF,0.0,%,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Factor IPCC por sistema de manejo,,,
A,4,Etapa 4: Aplicación de aguas verdes en campos de pastoreo,LIQ: AGUA VERDE,ipcc,land_application_managed_liquid_slurry,EF3,0.0,kg N2O-N/kg N,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Factor IPCC por sistema de manejo,,,
A,4,Etapa 4: Aplicación de aguas verdes en campos de pastoreo,LIQ: AGUA VERDE,ipcc,land_application_managed_liquid_slurry,Fraccion de N volatilizado en MMS,0.0,adimensional,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Factor IPCC por sistema de manejo,,,
A,4,Etapa 4: Aplicación de aguas verdes en campos de pastoreo,LIQ: AGUA VERDE,ipcc,land_application_managed_liquid_slurry,Fraccion de N lixiviado en MMS,0.0,adimensional,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Factor efectivo; A2 aplica un valor específico del sistema estudiado,,,
B,1,Etapa 1: Almacenamiento de purines,ESTIERCOL FRESCO,ipcc,liquid_slurry_without_natural_crust,Nitrogeno total reportado,0.5180555555555556,% N total,muestreos_integracion_interjornada_provisional.csv,Valor de caracterizacion; no usar directamente en ecuaciones de N,,,
B,1,Etapa 1: Almacenamiento de purines,ESTIERCOL FRESCO,ipcc,liquid_slurry_without_natural_crust,Nitrogeno total como fraccion masica,0.005180555555555556,kg N/kg masa húmeda,muestreos_integracion_interjornada_provisional.csv,A2 incorpora la materia seca gravimétrica; las demás etapas conservan la base analítica vigente,,,
B,1,Etapa 1: Almacenamiento de purines,ESTIERCOL FRESCO,ipcc,liquid_slurry_without_natural_crust,Solidos volatiles,84.71294891424387,% base seca,muestreos_integracion_interjornada_provisional.csv,Parametro para CH4 en etapas solidas,,,
B,1,Etapa 1: Almacenamiento de purines,ESTIERCOL FRESCO,ipcc,liquid_slurry_without_natural_crust,Materia seca,13.59995828105796,% masa húmeda,muestreos_integracion_interjornada_provisional.csv,Fracción de materia seca usada en etapas sólidas,,,
B,1,Etapa 1: Almacenamiento de purines,ESTIERCOL FRESCO,ipcc,liquid_slurry_without_natural_crust,Masa equivalente total,26278.725181,kg eq/año,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Base de escalamiento por etapa,,,
